variable,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
xmeas_1,1.0,-0.15732007808751083,-0.10116976958263077,-0.6112768600712957,0.012903294575620535,-0.20926576109899317,-0.5126874289993882,0.23003559324145587,0.0003864156459373648,0.14740053588527535,0.4921834651307019,0.04579426572264319,-0.51350102130843,0.12356608838624673,0.08104974455535544,-0.48890125218730074,0.13221619552537933,0.06433948992332267,-0.2766211721450507,-0.14988194958392234,0.0750898740060534,0.2523705916176977,0.07363282573841338,0.3820802858642629,-0.4347588523871099,0.2813762586623855,0.3938765941029235,0.17250859270133062,0.059477299990577936,0.38463584497108255,-0.41471255552549036,0.28580670209032283,0.41718285414656037,0.2028065313606269,0.47144706393626123,0.4365626242539614,0.057537020884184574,0.23147769942471952,0.11163709462262707,0.07070861684023712,-0.05599251145708532,-0.3880411755054441,-0.19650882822190757,0.3225165432536318,-0.5045981862947946,-0.007948318779867193,0.3486624382604752,0.04579003287228485,0.0810475417118593,0.03579036365469212,-0.17653778273445894,-0.3664412946884769
xmeas_2,-0.15732007808751083,1.0,0.49506915623258,0.34028886928920415,-0.009263457624140612,0.35549762500868676,0.14629808407495198,-0.07435981868613355,-0.0008610531942793137,0.15912170301483358,-0.0938442803986715,-0.09572507802635669,0.16554110056805402,-0.1478759101219152,-0.043288941969567514,0.05415573712543974,-0.03287551201338127,-0.0665162304687497,-0.05870156806794399,0.526094217972397,-0.2561976843074608,0.16119670853121798,0.4360151784931426,-0.33593984452488646,-0.05099551005215897,-0.2640539322551447,-0.5026040756915696,-0.21143992307667892,0.44580703004872907,-0.3160445414891793,-0.08430488207736637,-0.4162705809909199,-0.4966131309282093,-0.18705224677570434,-0.0754971326884184,-0.023686869891938578,-0.13860439061883773,-0.5003768810911917,-0.2558526095423008,-0.21355774323013862,0.230976945035489,0.2709605737825533,0.4621052178172545,-0.3794943181192704,0.11162394437422901,-0.209514655177,0.016626740967167677,-0.09575645220025204,-0.04329092516582574,-0.3975239032145323,-0.3412886572608891,-0.0021683189793264483
xmeas_3,-0.10116976958263077,0.49506915623258,1.0,0.21687704479408929,-0.002710636767454626,0.2558931710801127,-0.0155142998367065,0.19452118769997306,-0.12467680628811949,0.3209511823310751,0.06816575606077055,-0.1177718321171819,0.012982034225036616,-0.18006927179914464,-0.0301185906609695,-0.14684357364612938,-0.00832666610448317,-0.30409216639185127,-0.37302797168781276,0.7031853141253569,-0.23707959342809598,0.3421727677530628,0.648726274358995,-0.30785928166389137,-0.2189324489819574,-0.1991379996296968,-0.605975445962779,-0.2942888328428852,0.6632017209067563,-0.3093759747345318,-0.2538215877397441,-0.42210265826462035,-0.6081645616475901,-0.25854897643812663,0.07107974696828322,0.15588146871435868,-0.16732986436398997,-0.7126401874599295,-0.341234468016082,-0.3824336144539734,0.4450844442835633,0.1337183192163337,0.5849546556656813,-0.6165591638196573,-0.09078037049133855,-0.2327403110552369,0.22226438701774595,-0.1178181932477037,-0.03011681547255851,-0.6891004850923572,-0.6006522656507011,-0.17913454613592544
xmeas_4,-0.6112768600712957,0.34028886928920415,0.21687704479408929,1.0,-0.008600282851152332,0.6822711814701413,0.6070847493548748,-0.7226989554397351,0.0074612080299786675,0.07645444828087444,-0.5028992306069865,-0.1247660675842537,0.6244504859994822,-0.2147927870463432,-0.10792114406427819,0.5170571184164128,-0.09959611875310016,0.2399235557305363,0.45539618593977876,0.54862243674925,-0.2624431691922622,-0.04342237780158775,0.29889713424870307,-0.5761799849734989,0.30459455220175213,-0.5645562305955842,-0.717771542606035,-0.30030820229138866,0.30569588690562,-0.5279805082276771,0.2535719179576366,-0.5367251115892392,-0.7115060150420784,-0.296884473065545,-0.4472835167756517,-0.37341016180999054,-0.1345932943937377,-0.5360898199243709,-0.3203243051844393,-0.2234440355440388,0.20032975563330022,0.6781701481331925,0.6183817766343626,-0.277569824178129,0.6763956131337076,-0.2636853363851705,-0.31565385936592816,-0.1247890354138887,-0.10792090644006244,-0.20486145856725974,-0.1392500666420321,0.42970911758819796
xmeas_5,0.012903294575620535,-0.009263457624140612,-0.002710636767454626,-0.008600282851152332,1.0,0.013224857886408937,-0.029021550707798823,0.0005956948739694243,-0.007507734457215426,0.01627168742974186,0.02891559681143787,-0.005577708310791873,-0.029239378255876313,-0.015333100866993044,0.003493766465820986,-0.02838589228529836,0.008772911608006076,-0.008344372984088282,-0.02368514850612175,0.004230653281197744,-0.0017147562683299303,0.028037616376260517,0.015382049240477744,0.01619066103150012,-0.02979898259110214,0.005144111456146933,0.013820325575006233,0.009993678398292941,0.013783016554107757,0.024513446007593948,-0.030330529200380745,0.006138903311447125,0.015809529618256636,0.011559020179222551,0.030123122429027104,0.033178018546281586,0.002902470362601452,0.0010809536806334996,-0.003434362863201695,0.0011696731038016005,0.0015609135526380466,-0.020891379582603054,-0.014066412318557075,-0.015542578869074416,-0.01906889501676734,0.04617848320826918,0.026049476564628683,-0.005579358315756629,0.0034931847280505173,-0.0036596220026661602,-0.012928189861970352,-0.019358605065359424
xmeas_6,-0.20926576109899317,0.35549762500868676,0.2558931710801127,0.6822711814701413,0.013224857886408937,1.0,0.3592603668391891,-0.5489611570461869,-0.0017933919378599903,0.18060422184322728,-0.2753793410128247,-0.11117014740886393,0.3776192219563681,-0.1681161639526964,-0.06899287747565575,0.2750840981922363,-0.041455857606699203,0.22193319282169666,0.2850698901996785,0.5200525195181569,-0.25130329080037306,0.08622714754873544,0.36873981199293326,-0.40753300032219886,0.089141216969935,-0.43947784257523326,-0.5638575475352575,-0.2582050587560369,0.3697379161766285,-0.3607006736764855,0.047849801479300354,-0.432275589253815,-0.5477215071144851,-0.23932753808279156,-0.2283293874308014,-0.165770166433072,-0.11821608398979211,-0.461542569462324,-0.2894426854061881,-0.2148033201307911,0.19755435261104826,0.4845794368734416,0.5458411498230532,-0.20973166495535162,0.4206435725632132,-0.27505914674313403,-0.11377769578643594,-0.11119708757086565,-0.06899538559345639,-0.22530792398562371,-0.25263993053513506,0.23035576153504492
xmeas_7,-0.5126874289993882,0.14629808407495198,-0.0155142998367065,0.6070847493548748,-0.029021550707798823,0.3592603668391891,1.0,-0.37156413764263735,0.04157069659600825,-0.34784268647283034,-0.9531829777549936,-0.06935269212422912,0.9976862696403234,-0.1971147563065644,-0.14917481573021713,0.9832355174192533,-0.26530165092995794,0.2110796979356011,0.7230916106895331,0.09094440223810402,-0.048803291898343044,-0.6002610651728522,-0.29795758807926254,-0.6450737944917317,0.8715314155141085,-0.47056834170362816,-0.5646700053098153,-0.25489005741198334,-0.2841272150147773,-0.6674533820849694,0.8514959898459743,-0.43771233871079324,-0.6161640495194928,-0.32405632129730666,-0.949518022632156,-0.9034361391251361,-0.043175078101584614,-0.1516049798338298,-0.03926001389028279,-0.039333609713046606,-0.012366404315469476,0.7463476955058896,0.3529951582314155,0.31822037903693434,0.8041917968530633,-0.07484140517074477,-0.711387865547907,-0.06934465729176909,-0.14917514197818457,0.1445250122521271,0.3219993413146457,0.7281162788309092
xmeas_8,0.23003559324145587,-0.07435981868613355,0.19452118769997306,-0.7226989554397351,0.0005956948739694243,-0.5489611570461869,-0.37156413764263735,1.0,-0.0554828016873287,7.388743897461742e-05,0.30015569207904413,0.0643840317351886,-0.38099373952350113,0.08610945999367325,0.05490833095915603,-0.32922036302430907,0.004301034036620902,-0.47807242701920954,-0.536037887463137,-0.293765263100597,0.16482451635455744,0.021774926753712835,-0.16788902469249056,0.2994490388010996,-0.13369044485247472,0.40976139541294176,0.3561427692357334,0.04069210382319703,-0.16424076475715707,0.23361644874594895,-0.09943571761733164,0.2739620556748616,0.33337496165874986,0.031171250937458834,0.24397456661546835,0.2082642655929379,0.057305403580189235,0.22974977426989904,0.15054670067207584,0.0841141472087182,-0.04706345168600422,-0.47681547427449694,-0.3497168882282383,-0.012023911188262794,-0.5434480899759236,0.20520173498125613,0.27551059463528565,0.06439441017285313,0.054910312547718866,-0.09915368657797786,0.024984320847297348,-0.3274964748520325
xmeas_9,0.0003864156459373648,-0.0008610531942793137,-0.12467680628811949,0.0074612080299786675,-0.007507734457215426,-0.0017933919378599903,0.04157069659600825,-0.0554828016873287,1.0,-0.020469769117213366,-0.012217810833470033,0.012179945907679407,0.0374125217490504,0.030803111450598705,0.004788894515111358,0.06291948397186913,0.010551026347784924,0.02288284002719921,0.0594874915770455,-0.10616531509575147,-0.159202429957265,0.0025796345925079463,-0.11147282070644363,0.02645324673682592,0.06889046017675524,-0.005878210310357702,0.07680745880484462,-0.006395829518505681,-0.11378967583348157,0.030468041356905257,0.07246150723754936,0.04046432321726057,0.07520573925425325,-0.013065155737203717,-0.04880761261797032,-0.0573181530759528,0.026056846131881393,0.11133080023262716,0.03675343829592243,0.05752758257164799,-0.07160690486803277,0.013856780073971032,-0.0823289769624878,0.10452937691077992,0.04940806170033153,0.04720635883342819,-0.028623047027013532,0.012188328779025875,0.004786506187946312,0.09247392714869959,0.24717611613177104,0.050788854470680225
xmeas_10,0.14740053588527535,0.15912170301483358,0.3209511823310751,0.07645444828087444,0.01627168742974186,0.18060422184322728,-0.34784268647283034,7.388743897461742e-05,-0.020469769117213366,1.0,0.4498238610603047,-0.03572217410577908,-0.3417555435913541,-0.015559651292133823,0.03159653234273733,-0.3560778602081623,0.11515946188224947,-0.27583822229368504,-0.45613322084864044,0.11989448854839481,-0.04539713967982554,0.5583077252402109,0.23523325469554746,0.3194669759782202,-0.33296201959735383,0.0794655000645561,0.06904418714191761,-0.6877317412649784,0.2248993547179388,0.3359251429840919,-0.3416476635807508,0.06954700829155024,0.10515129923222404,-0.6371511882747372,0.4559708409652179,0.44796996974710135,-0.019778522032649418,-0.09276380415789184,-0.4669333487855432,-0.03746140715633792,0.06481636143537205,-0.1776959654663785,0.030793681557626566,-0.21194455901978676,-0.2038943157417219,-0.03561117708611266,0.8673174829162484,-0.035732260180880146,0.03159662485379414,-0.3221247417917401,-0.2002550885099491,-0.2758444805720263
