variable,variance,std,mean,cv_abs,nearly_constant
xmeas_37,0.00010060933270210908,0.010030420365174587,0.017781312321546595,0.5640989924585136,False
xmeas_39,0.0001828727117714019,0.013523043731771406,0.09722728767349637,0.13908691742161716,False
xmeas_9,0.004874813118805854,0.06981986192199074,120.40128453403834,0.0005798929985855105,False
xmeas_10,0.006485426982255815,0.08053214874977455,0.34465707931262396,0.23365876862412338,False
xmeas_38,0.008770779604159064,0.09365244046024142,0.8351827131526769,0.11213407435927274,False
xmeas_28,0.015832422145450935,0.1258269531755853,1.6271325307336417,0.07733048832774084,False
xmeas_26,0.0196482269224073,0.14017213318776062,6.867198426966292,0.020411836745146184,False
xmeas_1,0.01992064491000096,0.1411405147716309,0.25664637963443493,0.5499415770940168,False
xmeas_32,0.023460551287863396,0.15316837561279872,1.2478457594183743,0.12274624043615061,False
xmeas_34,0.029396473335498233,0.17145399772387412,2.220454567085261,0.0772157198194502,False
xmeas_36,0.03242221390126006,0.18006169470839725,2.262420568407138,0.07958807359816839,False
xmeas_5,0.051839386006351566,0.22768264318202117,26.901655089226704,0.00846351804105916,False
xmeas_24,0.05260970476194673,0.2293680552342604,8.864573992068737,0.025874684495778292,False
xmeas_30,0.08620308178004173,0.29360361336339463,13.784809649702577,0.021299069107546906,False
xmeas_6,0.10666390486187571,0.3265944042109046,42.37613380700594,0.007707036363872099,False
xmeas_35,0.11831485315142799,0.3439692619281961,4.770796226040979,0.07209892136047849,False
xmeas_4,0.14418341204534962,0.37971490890581266,9.392790766688696,0.04042620753913335,False
xmeas_40,0.3425518607502444,0.5852793014879686,53.70849570389954,0.01089733186188408,False
xmeas_41,0.36803749127408025,0.6066609360046847,43.81923678122934,0.013844625798333334,False
xmeas_17,0.409760697916868,0.6401255329362109,22.906210806345012,0.027945500822811616,False
xmeas_12,0.998131805823602,0.9990654662351222,49.97485102445473,0.019991364571476936,False
xmeas_15,1.0222965990024828,1.0110868404852684,49.951994910773294,0.020241170393521246,False
xmeas_27,1.0599031981601552,1.029516001896112,18.657815069398545,0.05517880834742884,False
xmeas_14,1.1160561987117477,1.0564356103008585,25.109366391275607,0.042073367915325934,False
xmeas_22,1.3343723337252313,1.1551503511340986,77.10575429610046,0.01498137670371664,False
xmeas_21,1.5849820076275902,1.2589606854972042,94.42658909451421,0.013332692598237083,False
xmeas_8,1.5861373312705416,1.2594194421520344,74.82903816920026,0.016830624487037885,False
xmeas_33,2.0860929882843453,1.4443313291223538,18.39579517514871,0.07851421019698748,False
xmeas_18,2.877900505031392,1.696437592436395,66.02240290812954,0.025694878067328078,False
xmeas_23,3.0747941990697387,1.7535091100618037,32.026267812293455,0.05475221528587573,False
xmeas_11,3.1058172105734347,1.7623328886942542,79.7103494051553,0.022109210433096844,False
xmeas_25,3.52890240245922,1.8785373039839321,26.802910575016526,0.07008706381817169,False
xmv_8,5.475322795981833,2.3399407676225126,46.42290442828817,0.05040487656771107,False
xmeas_29,7.005075888707317,2.646710390032751,32.71455287508261,0.0809031503544909,False
xmeas_31,8.272156563518214,2.87613569977465,24.607363780568406,0.11688109809006993,False
xmv_7,8.644339754613972,2.94012580591613,38.026002214144086,0.07731882487564064,False
xmv_1,31.77005224923654,5.636492903325306,64.19774167217449,0.08779892806990057,False
xmv_5,36.755524915082965,6.062633496681369,21.834214520456047,0.27766666352945313,False
xmv_2,53.37480373038836,7.305806165673188,54.69291665565102,0.13357865355162646,False
xmv_4,81.61868736307846,9.034306136227533,63.899268076668875,0.14138356209945652,False
xmv_11,115.19829741302703,10.733046977118242,20.426337177792465,0.5254513760199367,False
xmeas_20,128.019556904383,11.314572767205265,340.9442432253801,0.03318599152802179,False
xmv_10,147.12217086754805,12.129392848265244,42.493860192048906,0.2854387149919318,False
xmv_6,168.1803620057898,12.968437145847211,39.37695271473893,0.3293408009450432,False
xmv_9,287.7781478903751,16.9640251087522,49.74809226490417,0.3409985053983633,False
xmv_3,379.46337980532235,19.479819809364827,29.42465235406477,0.6620237879097272,False
xmeas_2,1838.5629577612644,42.878467297249145,3663.5868142762724,0.011703958298506876,False
xmeas_19,4532.528585685511,67.32405651537577,247.30305254461337,0.27223301864917554,False
xmeas_7,5989.841328352186,77.39406520110043,2724.6219695968275,0.02840543241033644,False
xmeas_13,6138.611786141032,78.34929346293451,2652.769163912756,0.02953490809858918,False
xmeas_16,6172.728511234341,78.56671376120005,3122.317263714475,0.02516295018262587,False
xmeas_3,11421.72507050241,106.87247106014912,4507.775684071382,0.023708471439204997,False
