variable_a,variable_b,pearson_r,abs_r
xmeas_15,xmv_8,0.9999999542566391,0.9999999542566391
xmeas_12,xmv_7,0.9999999539441071,0.9999999539441071
xmeas_7,xmeas_13,0.9976862696403234,0.9976862696403234
xmeas_25,xmeas_31,0.9853513030335893,0.9853513030335893
xmeas_23,xmeas_29,0.9848811024527879,0.9848811024527879
xmeas_7,xmeas_16,0.9832355174192533,0.9832355174192533
xmeas_13,xmeas_16,0.9739427447174003,0.9739427447174003
xmeas_28,xmeas_34,0.9647567463639836,0.9647567463639836
xmeas_11,xmeas_35,0.9571507895023716,0.9571507895023716
xmeas_7,xmeas_11,-0.9531829777549936,0.9531829777549936
xmeas_27,xmeas_33,0.9521987180363277,0.9521987180363277
xmeas_7,xmeas_35,-0.949518022632156,0.949518022632156
xmeas_16,xmeas_35,-0.9477974690999686,0.9477974690999686
xmeas_11,xmeas_13,-0.9460699209854467,0.9460699209854467
xmeas_11,xmeas_16,-0.9446168209211356,0.9446168209211356
xmeas_13,xmeas_35,-0.9435330108411465,0.9435330108411465
xmeas_35,xmeas_36,0.9413373032073713,0.9413373032073713
xmeas_16,xmeas_25,0.9317884167793781,0.9317884167793781
xmeas_16,xmeas_31,0.9207871706129935,0.9207871706129935
xmeas_16,xmeas_36,-0.9206708561566853,0.9206708561566853
xmeas_11,xmeas_36,0.9168189301299565,0.9168189301299565
xmeas_7,xmeas_36,-0.9034361391251361,0.9034361391251361
xmeas_20,xmeas_29,0.8979414276108435,0.8979414276108435
xmeas_13,xmeas_36,-0.8930845284711367,0.8930845284711367
xmeas_20,xmeas_23,0.8882839617443006,0.8882839617443006
xmeas_20,xmeas_38,-0.8743772999989736,0.8743772999989736
xmeas_25,xmeas_35,-0.8719682564687328,0.8719682564687328
xmeas_7,xmeas_25,0.8715314155141085,0.8715314155141085
xmeas_10,xmv_6,0.8673174829162484,0.8673174829162484
xmeas_25,xmeas_36,-0.8662160269727134,0.8662160269727134
